trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,9.076498290999552,9.076498290999552,0.01906295900062105,[0.012222222222222223],[0.052222222222222225],[1],[0],[0],[3.8207289160000073],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
1,0,1,0,10,12.853578833000029,12.853578833000029,0.015645167000002402,[-0.4711111111111111],[-0.32222222222222224],[1],[0],[0],[2.0136722089991963],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
2,0,2,0,5,14.87785412500034,14.87785412500034,0.008742167000491463,[-0.41444444444444445],[-0.16555555555555557],[1],[0],[0],[1.2044207499993718],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
3,0,3,0,10,16.105947125000057,16.105947125000057,0.018483916000150202,[-0.20777777777777778],[-0.33111111111111113],[1],[0],[0],[1.6456747920001362],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
4,0,4,0,5,17.762142040999606,17.762142040999606,0.009024040999975114,[-0.1922222222222222],[0.20555555555555555],[1],[0],[0],[1.5704453329999524],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
5,0,5,0,5,19.346438749999834,19.346438749999834,0.010281249999934516,[-0.4888888888888889],[-0.3988888888888889],[1],[0],[0],[1.4199332500002129],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
6,0,6,0,5,20.77989895799965,20.77989895799965,0.010331374999623222,[0.11],[-0.26],[1],[0],[0],[1.4696296250003797],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
7,0,7,0,10,22.271484666000106,22.271484666000106,0.017407792000085465,[0.06333333333333334],[-0.26],[1],[0],[0],[1.0956039169996075],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
8,0,8,0,10,23.384675000000243,23.384675000000243,0.01530645899947558,[0.10666666666666667],[0.1711111111111111],[1],[0],[0],[1.8483076669999718],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
9,0,9,0,10,25.250835666000057,25.250835666000057,0.014748207999218721,[-0.21444444444444444],[0.21222222222222223],[1],[0],[0],[1.3654509999996662],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
10,0,10,0,5,26.62633383299999,26.62633383299999,0.008742875000280037,[0.26],[0.18666666666666668],[1],[0],[0],[1.5073252920001323],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
11,0,11,0,5,28.150396375000128,28.150396375000128,0.01187233299970103,[0.3433333333333333],[-0.12444444444444444],[1],[0],[0],[2.5166945830005716],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
12,0,12,0,10,30.69061904099999,30.69061904099999,0.019175291000465222,[0.18333333333333332],[0.43333333333333335],[1],[0],[0],[1.8929957089994787],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
13,0,13,0,10,32.60112695800035,32.60112695800035,0.01529233299970656,[-0.4222222222222222],[-0.19666666666666666],[1],[0],[0],[1.4822515830001066],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
14,0,14,0,10,34.102822040999854,34.102822040999854,0.015991000000212807,[-0.4255555555555556],[0.33111111111111113],[1],[0],[0],[1.2806919579998066],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
15,0,15,0,5,35.393554958000095,35.393554958000095,0.008921458999793686,[0.12444444444444444],[-0.10444444444444445],[1],[0],[0],[1.3892620409997107],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
16,0,16,0,10,36.803902665999885,36.803902665999885,0.016583125000579457,[0.12444444444444444],[-0.12777777777777777],[1],[0],[0],[0.7464353750001465],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
17,0,17,0,5,37.55978316599976,37.55978316599976,0.0082038750006177,[-0.19666666666666666],[-0.4166666666666667],[1],[0],[0],[1.2561083749997124],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
18,0,18,0,5,38.82973366599981,38.82973366599981,0.009834458999648632,[-0.12666666666666668],[0.11555555555555555],[1],[0],[0],[1.286361874999784],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
19,0,19,0,5,40.12858645800043,40.12858645800043,0.009417041999768117,[0.06666666666666667],[-0.4677777777777778],[1],[0],[0],[1.2547609579996788],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
20,0,20,0,10,41.404565791000095,41.404565791000095,0.017104291000578087,[-0.13777777777777778],[-0.03888888888888889],[1],[0],[0],[1.046595165999861],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
21,0,21,0,5,42.46128108300036,42.46128108300036,0.008880665999640769,[-0.0044444444444444444],[-0.29555555555555557],[1],[0],[0],[1.1390624999994543],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
22,0,22,0,10,43.62326154099992,43.62326154099992,0.01794954199976928,[0.43777777777777777],[-0.08333333333333333],[1],[0],[0],[1.3942442500001562],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
